text,spam
"Subject: re : houston visit  soussan ,  it seems we have planned for all contingencies .  look forward to meeting you next week .  vince  "" faiz , soussan "" on 11 / 28 / 2000 06 : 51 : 51 pm  to : "" ' vince . j . kaminski @ enron . com ' ""  cc :  subject : re : houston visit  vince ,  your suggested arrangement is perfect with me and i love both italian or  steak . . . the choice is yours . i really look forward to our meeting vkaminski @ aol . com  subject : re : houston visit  soussan ,  let ' s meet at westin oaks next to the reception around 6 : 30 p . m . thursday .  there are several nice restaurants within a walking distance to the  galleria .  i shall make a reservation ( is italian or a steakhouse ok ? ) .  you can reach me on thursday at my cell phone 713 410 5396 .  look forward to meeting you .  vince  "" faiz , soussan "" on 11 / 27 / 2000 04 : 37 : 30 pm  to : "" ' vince . j . kaminski @ enron . com ' ""  cc :  subject : re : houston visit  great ! i look forward to our dinner on thurs . 12 / 7 evening . hopefully  your  flight will be on time . . . although having watched 60 minutes last night and  suffered from a # of delays lately , let ' s hope that the "" weather blame ""  doesn ' t get in the way . it ' s best to leave me a message @ my usual work #  on thurs . , 914 253 4187 , . . . i can easily check it in houston .  i ' ll be staying @ the westin oaks in the galleria . . . any preferred place  that i can book ( & for what time ) ? ? coming over to down town won ' t be a  problem for me either .  will be great to see you again .  soussan  914 253 4187  - - - - - original message - - - - -  from : vince . j . kaminski @ enron . com [ mailto : vince . j . kaminski @ enron . com ]  sent : monday , november 27 , 2000 12 : 10 pm  to : faizs @ texaco . com  cc : vince . j . kaminski @ enron . com  subject : re : houston visit  soussan ,  thanks for your message . it would be great to meet you when you come to  houston .  i shall be in town on december 7 , flying back from philly in the morning .  assuming that the flight is on schedule , i shall be available for dinner .  please , let me know how i can contact you on thursday , december the 7 th ,  to confirm .  look forward to meeting you .  vince  "" faiz , soussan "" on 11 / 26 / 2000 09 : 04 : 01 pm  to : "" ' vince . j . kaminski @ enron . com ' ""  cc :  subject : houston visit  dear vince ,  greetings from ny and hope that all is well and you had a great  thanksgiving . i ' ll be coming to houston for 12 / 6 - 12 / 7 and hope you are  available either evening for dinner . would be great to see you again and  catch up with the latest . . . i really enjoyed my visit last april , your  insights , and the risk book you gave me .  i do hope you ' re available to meet and pls let me know which evening suits  you better .  best ,  soussan faiz  texaco inc .  914 253 4187",0
"Subject: re : eprm 2001 houston  layla ,  a few points .  i shall be glad to attend the reception .  i am falling behind in getting my presentation ready . sorry for the delay .  i can commit to delivering the required number of copies on the day of my presentation  ( or a day before ) . i have done it on two occasions before ( power 2000 and power 1999 ) :  the copies were produced by our company copy center at no cost to you .  my associate , tanya tamarchenko , is helping me with one aspect of the presentation and  i would like her to deliver part of my speach . it ' s only fair to give her the credit when the  credit is due . is it ok to include her as an additional speaker ?  vince  "" layla o ' leary "" on 04 / 30 / 2001 09 : 04 : 52 am  please respond to  to :  cc :  subject : eprm 2001 houston  dear speaker ,  pre - congress cocktail reception - sunday 13 th may @ 5 : 30 pm in the juniper  room  we would be delighted to have you attend our pre - congress cocktail  reception . we will be extending this invitation to all our sponsors ,  exhibitors and eprm / risk waters group staff . we hope this will provide a  perfect opportunity for you to meet all our staff and clients before the  formal opening of eprm 2001 usa  + rsvp  i would also like to remind you that i need any missing presentations by  thursday 3 rd may . it is essential that i get these in as the delegates rely  on these to make notes and get very upset if they are not included in the  packs .  if you still haven ' t informed me of your av requirements , please do so as  quickly as possible . i also require a short biography .  i would like to point out that i will not be taking any presentations on  disk to the event . if you are using a laptop , your presentation should be  loaded onto the laptop that you bring with you . you must bring your own  laptop and disc , with connecting cables .  any questions , please do not hesitate to contact me .  kind regards  layla o ' leary  event co - ordinator  risk waters group  haymarket house  28 - 29 haymarket  london  swly 4 rx  tel : + 44 ( 0 ) 20 7484 9871  fax : + 44 ( 0 ) 20 7484 9800",0
"Subject: [ avfs ] romanian software production & export  to : avfs @ fazekas . hu  attn : marketing department  from : i . q . software - bucharest  ref . : romanian software production & export  our anti - spamming company policy :  never bother you again  to remove your e - mail address from the present  contact list just do not reply to this message .  if you receive this message by mistake and / or you are not interested  in the following brief presentation , please accept our apologies .  this is a world - wide promotion campaign . the selected e - mail addresses  are extracted only from the commercial websites of the targeted markets .  we would like to offer you for consideration our brief presentation .  we are looking for a marketplace in your country .  to communicate with us please reply using  the plain text format in the body of the message  > > > mentioning your specific inquiry / offering demand > > company name , address , phone  - man - power ;  - data - entry ;  - mapdrawing ;  - outsourcing .  * so that you would be able to have an idea of our skills  we present you some of our current projects :  the situs system ( informative of tribunals bureaus of supervision )  was realized for informative administration of activities typical  for tribunals and bureaus of supervision for ministry of justice - italy  ( microsoft visual basic 6 . 0 , database : oracle 8 . 0 ) .  the ice system foresaw the resigtering of the italian - romanian companies  on romanian territory . the application is constituted by a browser which  allows the navigation and provides some additional skills , advanced search  on varied criterious which are created in a dynamic way by the user  ( visualbasic 6 . 0 , database : access 97 ) .  museum - the main request from the museum was to handle ( multimedia )  documents in specific formats on different operating system and platforms  ( c + + , html , corba idl , orb : orbacus ) .  library ( national library of firenze ) - informatical system for managing  and labeling the ancient bibliographical materials  ( power builder , database : oracle ) .  interflora - communication and management system ; consists in some  applications and services which allows the communication between  the flowerist man from italy and international association of flowerists  ( visual basic 6 . 0 ) .  audit office - the realization of a porting which foresaw 16 bit controls  for substitution with 32 bit controls , introduction of new activex controls ,  substitution of formula 1 with native controls of visual basic 6 . 0 .  unico - the program foresaw the possibility of acquisition from images  of more than 60 models of unico and iva  ( fiscal declarations ) - ( delphi 4 . 0 . database : sql ) .  ministry of finance - fiscal documentation - the objective is  the easy access to the italian legislation and its consulting .  the application based on a client / server architecture , using a network  communication ( sockets ) for data exchange with the server ( visual c + + ) .  foreign ministry - economical application -  this application is conceived as a group of projects .  administration  balance - sheets  dispositions of payment  foreign expenses  synthetically dates  servers  ( visual basic 6 . 0 , database : sql server 7 . 0 )  sogei - the administration of the custom houses .  this application is created for the financial administration of the  peripherical offices at the customhouse ( java , html , database : oracle 8 . 0 ) .  iccrea - application of processing development of the  bank - procedures on mainframe ( cobol / cics / db 2 ) .  telecom - microfilm data acquisition .  registering numbers and subscribers .  anagrafica - acquisition from images of dates and personal information .  italian ministry of finance - data acquisition  from images of medical prescription .  iq register - acquisition of information from images  and optics archives of documentation .  * we had been offering for the entire veneto region ,  the following professional system engineers :  ambiente bull gcos 8 : systematical and special assistance  in interel rfm , sql , infoedge .  ambiente bull / reti : systematical and special assistance  of regional networks for datanet , l . a . n . , x . 25 ,  dsa , mainway transmission , telematical networks .  ambiente unix : 2 unix system operators with knowledge of gcos 6 .  * we have been offering for the meteorology institute of padova  the following professional system engineers :  ambiente digital / unix : systematical and special assistance  for dec vax / vms and unix systems with strong enough knowledge  of informix and c programming .  ambiente / decnet / windows : systematical and special assistance  for dec vax / vms and windows with knowledge in financial administration  of local networks , in financial administration and configuration of  communication systems ( router , bridge , gateway , etc ) and of products  of exchange data , in financial administration and configuration of  interface systems of internet .  therefore , to increase our presence to the international  market we took part in the inter - governmental program  between the united states and romania .  thus , we participated to the international meeting of both  romanian and american it companies on lst november 2001 due  to the kind initiative of both governments .  the reason of this program , of the meeting mentioned above and of the  initiatives that followed was to offer a new way for outsourcing ,  more convenient than the indian one to american software companies .  our company , already present on american market , is interested to be  a potential partner and one of most interested in cooperating with  american it companies .  our main interest is both on the american and european market .  our managing staff after visiting italy managed to establish relations  with this country for our curent projects .  on the other side a marketing tour has already been established  in the usa in the month of may for any possible projects .  that is why we might be able to directly discuss with you any new project .  we ' d appreciate your feed - back containing detailed contact coordinates :  company name , address , phone and fax numbers , contact person , web - site .  our area of interest : software production export  we wish to express our availability to work under the client ' s brand .  please don ' t hesitate to send us your specific inquiry / offering demand .  we ' ll be happy to provide you the lowest prices in the field .  thanking you for your time and looking forward to your reply ,  we wish you all the best .  i . q . software staff  avfs mailing list  avfs @ csibe . fazekas . hu ",1
"Subject: extending eu gas guidelines to central and eastern europe - cera  insight  title : extending eu gas guidelines to central and eastern europe  url : http : / / www 20 . cera . com / eprofile ? u = 35 & m = 2184  overview : a comprehensive reform of gas legislation in central and eastern  europe is bringing the region in line with the european union  , s gas  directive . this is true both for the countries expected to enter the union by  2004  ) 05  * czech republic , estonia , hungary , poland , and slovenia - - and for  candidates whose entry is not scheduled before the end of the  decade - - bulgaria , latvia , lithuania , romania , and slovakia . in cera  , s view  current developments regarding the establishment of a legal framework for the  internal gas market in eastern and central europe look promising from an  investor  , s point of view .  the candidate countries presented a review of progress made in the  implementation of the eu gas directive during a two - day workshop held by the  european commission and the world bank in paris in november .  many of these countries have been reforming their energy industries  throughout the 1990 s as part of their transition to a market economy . the  results have been mixed , particularly in the utility industries . the 1998 gas  directive ( adopted in august 2000 ) now offers a compelling incentive for eu  candidate countries to transform their gas industries , while providing a road  map to guide them .  the critical points relevant to harmonization between the european union and  candidate countries include the following :  * legal framework and regulation . the legal framework is the cornerstone of  enlargement and the yardstick of harmonization in europe . as a result , in all  candidate countries in 1999  ) 2000 energy laws were either updated or newly  established along the principles spelled out in the gas directive . regulatory  bodies have been created by law and are operating in every country , although  issues of staffing , financial autonomy , and independence from political  influence are not uniformly resolved .  * third - party access ( tpa ) and long - term take - or - pay contracts . all candidate  countries agree that tpa is a key to market competition . therefore , all have  adopted it or intend to do so in their new legislation . although the  commission favors regulated tpa , the specific approaches to tpa enforcement  in the candidate countries remain unclear in some cases . in particular , the  implementation of tpa will have to address the issue of long - term take - or - pay  contracts with russia that were signed by all major domestic gas companies  and somewhat preempt competition . russian gas is for the most part sold to  single , traditional state - owned operators that dominate their internal  markets . a balance will need to be struck between these incumbent dominant  players and the competitive environment . this is made more complicated by  their ownership of large volumes of russian gas supplied in kind in exchange  for transit rights to west european customers . article 25 of the directive  provides for !  a derogation to companies experiencing difficulties stemming from take - or - pay  obligations . this derogation would apply to the companies of candidate  countries with historical and commercial links with the russian gas industry .  furthermore , article 26 allows derogations to those member states with only  one major gas supplier , to those with an  +  + emerging gas market  status ,  ,  , or to those without a direct gas connection to the grid of another  member state . most of the candidate countries would in principle be able to  call on one or more of these grounds for derogation when they join the  european union .  * price cross - subsidies . residential gas tariffs are artificially low and are  financed partially through higher rates applied to industrial consumers . in  various countries , tariff increases and the phasing out of subsidies have  been scheduled , but such decisions remain politically sensitive to enforce .  this has recently been emphasized by high gas prices owing to the linkage of  imported gas to oil prices . all candidate countries have set legal frameworks  that include the phasing out of cross - subsidies as part of sector reform , but  the actual implementation will remain politically difficult . as table 1  indicates , price rebalancing is already under way in most countries expected  to enter the european union by mid - decade , but the legal framework itself  cannot guarantee the pace of reform . the same goes for candidate countries  that have only recently introduced eu - complying energy laws and whose entry  to the european union is likely to happen in a longer time frame .  * unbundling . most countries understand that the unbundling of transmission  companies from their supply businesses is the second critical element of  liberalization . to date , unbundling the accounts of these two businesses is  all that has been adopted by the member states or in the candidate countries .  in the future , the commission is likely to press all eu countries for legal  separation (  & structural unbundling  8 ) of the businesses , and candidate  countries will have to pursue their reform of the gas sector accordingly .  table 1 gives an overview of the state of play in candidate countries . as the  table shows , the countries belonging to the second group have only very  recently undertaken the reform of the gas sector in accordance with the  directive , whereas change had been introduced earlier in the countries  scheduled for the first wave .  * * end * *  follow above url for full report .  come shoot the rapids with us at ceraweek 2001 , "" shooting the rapids :  strategies and risks for the energy future "" in houston , february 12 - 16 ,  2001 ! for more information and to register , please visit  http : / / www 20 . cera . com / ceraweek /  e - mail category : insight  cera knowledge area ( s ) : european gas ,  to make changes to your cera . com account go to :  forgot your username and password ? go to :  http : / / www 20 . cera . com / client / forgot  this electronic message and attachments , if any , contain information  from cambridge energy research associates , inc . ( cera ) which is  confidential and may be privileged . unauthorized disclosure , copying ,  distribution or use of the contents of this message or any attachments ,  in whole or in part , is strictly prohibited .  terms of use : http : / / www 20 . cera . com / tos  questions / comments : webmaster @ cera . com  copyright 2000 . cambridge energy research associates",0
"Subject: take advantage of this offer 24344  copy  any dvd with a cd - r burner !  dvd wizard pro is the  most technologically advanced method of dvd reproduction ever available !  do not be fooled by other fly by night  websites offering outdated information .  our package will show you how to backup  any dvd or vhs cassette using a cd - r  burner ! we will go further , and show you how to backup a dvd  using a dvd - r , or dvd - rw burner as well .  make quality backups  of your personal dvd ' s and vhs cassettes . create your own  dvd library . never worry about  scratching or losing a dvd again !  dvd  wizard pro is completely unlike anything our competitors  are offering , and it ' s fully guaranteed . . .  order today , you won ' t be disappointed !  limited time  only $ 39 . 95 !  we have sold this package  for as much as $ 69 . 95 . . . but now , for a very limited time  only , we are offering instant access for only $ 39 . 95 !  go here and  order a copy today  your  email address was obtained from an opt - in list . opt - in mrsa list  purchase code # 31212 - 1 - 01210 . if you wish to be unsubscribed  from this list , please  click  here and press send to be removed . if you have previously unsubscribed  and are still receiving this message , you may email our  spam  abuse control center . we do not  condone spam in any shape or form . thank you kindly for your cooperation ",1
"Subject: make a fortune on ebay 24772  ebay - # 1 rated work at home business  opportunity  - pc magazine  fortunes are literally being made in  this great new marketplace !  over $ 9 billion  in merchandise was sold on ebay in 2001 by people just like you  - right from their homes .  now you too can learn the secrets of successful  selling on ebay and make a staggering income from the  comfort of your own home . if you are motivated , capable  of having an open mind , and can follow simple directions , then  visit us here .  we are strongly against sending unsolicited  emails to those who do not wish to receive our special mailings . you have  opted in to one or more of our affiliate sites requesting to be notified  of any special offers we may run from time to time . we also have attained  the services of an independent 3 rd party to overlook list management and  removal services . this is not unsolicited email . if you do not wish to  receive further mailings , please go  here to be removed from the list . please accept our apologies if you  have been sent this email in error .  charset = iso - 8859 - 1 "" > ",1
"Subject: confirm results of your refina [ n ] ce application  we tried to contact you last week about refinancing your home at a lower rate .  i would like to inform you know that you have been pre - approved .  here are the results :  * account id : [ 933 - 327 ]  * negotiable amount : $ 127 , 931 to $ 651 , 433  * rate : 3 . 52 % - 5 . 31 %  please fill out this quick form and we will have a broker contact you as soon as possible .  http : / / www . pvrefi . net / ? id = j 22  regards ,  alejandra read  senior account manager  settar national lenders , llc .  database deletion :  www . pvrefi . net / book . php ",1
"Subject: re : kellogg class information on real options  jodi ,  chris can set up a conference call with myself , stinson gibner and zimin lu  to discuss  the real option applications . my assistant shirley crenshaw , 3 - 5290 , will be  glad to help him .  vince  enron capital management  from : jodi coulter 02 / 01 / 2000 11 : 36 am  to : vince j kaminski / hou / ect @ ect  cc :  subject : kellogg class information on real options  vince -  per my voicemail , the following is the message i received from chris swenson  about the kellogg class he is trying to form . please let me know if you  would be able to help him . thanks .  jodi  x 56318  - - - - - - - - - - - - - - - - - - - - - - forwarded by jodi coulter / hou / ect on 02 / 01 / 2000 11 : 05  am - - - - - - - - - - - - - - - - - - - - - - - - - - -  "" christopher p . swenson "" on 01 / 25 / 2000 06 : 42 : 58 pm  to : jodi coulter / hou / ect @ ect  cc :  subject : hello  hi jodi ,  i have been remiss in keeping up with you and letting you know what is  going on  in my little world here at kellogg .  in other matters , life at kellogg has me very busy at the moment . i am taking  a full load , including fin decisions and am helping prof . petersen write a new  class called advanced valuation , which will be offered in the spring . a big  part of the focus of this class is going to be on real options , which is cool  stuff . and as poor as my timing is , i would like to ask you a  question / favor .  for purposes of this class , do you think it would be possible to obtain  some of  enron ' s thoughts on real options ? i was thinking , for example , that a  fuel - switching analysis would be neat to included in the case packet . of  course , none of the numbers or names need be real - - only the concepts . well ,  let me know what you think of that - - who knows , enron might actually like the  free exposure .  all the best ,  chris",0
"Subject: i would like to help your marketing efforts !  hello fellow entrepreneur ,  my name is jon roberts and i represent one of the largest  lead companies on the internet . we specialize in national , local area code , and  gender based real time leads . we also run custom marketing campaigns for  organizations that want a more targeted lead due to their line of service or  product .  you can reach me at the number below or simply reply to  this email . we hope to serve you soon - thanks ! jonathan  robertsl - 800 - 663 - 0311 theleadmanl @ yahoo . com * if you have received  this message in error or would like to be removed from the mailing list please  reply to this email with your removal request and it will be processed  immediately ! *",1
"Subject: younger and healthier with ultimate - hghl 7283  as seen on nbc , cbs , cnn , and even oprah ! the health discovery that actuallyreverses aging while burning fat , without dieting or exercise ! this provendiscovery has even been reported on by the new england journal of medicine . forget aging and dieting forever ! and it ' s guaranteed !  click below to enter our web site :  http : / / www . freehostchina . com / washgh /  would you like to lose weight while you sleep !  no dieting !  no hunger pains !  no cravings !  no strenuous exercise !  change your life forever !  100 % guaranteed !  1 . body fat loss 82 % improvement .  2 . wrinkle reduction 61 % improvement .  3 . energy level 84 % improvement .  4 . muscle strength 88 % improvement .  5 . sexual potency 75 % improvement .  6 . emotional stability 67 % improvement .  7 . memory 62 % improvement .  click below to enter our web site :  http : / / www . freehostchina . com / washgh /  if you want to get removed  from our list please email at - standardoptout @ x 263 . net ( subject = remove "" your email "" ) ",1
"Subject: v and more  hello , welcome to the medzonli plainclothesman ne  - online pharmaceu varicoloured tical shop .  v tzigane a  u persuasiveness mv kilometre i  passible rac tangible i  warpath is  townspeople li  a colloquialism g  tutorage al  andmanyother .  with our sh rivalry op you get -  best p bursary rlces  indefensibility excellent service  fast correspondence shipping  private online or surpassing dering  have a nice day .",1
"Subject: we have been rated as # 1 one - stop - shop internet pharmacy .  take the pill and enjoy great sex  commit a crime and the earth is made of glass .  creativity is the power to connect the seemingly unconnected .  really , adv . apparently .",1
